run_id,timestamp_iso,dex,integration_kind,docs_url,chain_id,chain_name,direction,token_in_symbol,token_in_address,decimals_in,token_out_symbol,token_out_address,decimals_out,amount_in_tokens,amount_in_usd,amount_out_tokens,amount_out_usd,mid_price_out_per_in,effective_price_in_per_out,effective_price_usd_per_out,price_impact_bps,fee_bps,gas_estimate,gas_price,gas_cost_native,native_usd,gas_cost_usd,route_summary,sdk_or_api_version,quote_latency_ms,success,failure_reason
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1.0,1,0.0202941167,1.0022738823448636,0.0202941167,49.27536461835759,49.27536461835759,0,100,,,,,,0xb883…630f -> 0x5555…5555 via kittenswap_algebra (100%),hypertrade-api@v1,4126.826723,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Kittenswap Finance,dex_via_hypertrade,https://docs.kittenswap.finance/,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1,1,0.0202941167,,0.0202941167,49.27536461835759,49.27536461835759,0,0,,,,,,Kittenswap Finance pool 0x12df9913e9e08453440e3c4b1ae73819160b513e,hypertrade-api@v1,4126.826723,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,100.0,100,2.0262123752,100.0693833472886,0.020262123752,49.35316811996539,49.35316811996539,0,100,,,,,,0xb883…630f -> 0x5555…5555 via kittenswap_algebra (100%),hypertrade-api@v1,3660.6215949999987,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Kittenswap Finance,dex_via_hypertrade,https://docs.kittenswap.finance/,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,100,100,2.0262123752,,0.020262123752,49.35316811996539,49.35316811996539,0,0,,,,,,Kittenswap Finance pool 0x12df9913e9e08453440e3c4b1ae73819160b513e,hypertrade-api@v1,3660.6215949999987,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,10.0,10,0.2029120576,10.021301185546873,0.02029120576,49.28243357382425,49.28243357382425,0,100,,,,,,0xb883…630f -> 0x5555…5555 via kittenswap_algebra (100%),hypertrade-api@v1,6202.368354999999,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Kittenswap Finance,dex_via_hypertrade,https://docs.kittenswap.finance/,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,10,10,0.2029120576,,0.02029120576,49.28243357382425,49.28243357382425,0,0,,,,,,Kittenswap Finance pool 0x12df9913e9e08453440e3c4b1ae73819160b513e,hypertrade-api@v1,6202.368354999999,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,HYPE->USDC,WHYPE,0x5555555555555555555555555555555555555555,18,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,0.020248074959831362,1,1.000132,1.000132,49.393930138252,0.020245402566692557,0.9998680174217003,0,100,,,,,,0x5555…5555 -> 0xb8ce…5ebb via hyperswap-v3 (100%) | 0xb8ce…5ebb -> 0xb883…630f via gliquid (100%),hypertrade-api@v1,6483.614747,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Gliquid,dex_via_hypertrade,https://gliquid.xyz,999,HyperEVM,HYPE->USDC,WHYPE,0x5555555555555555555555555555555555555555,18,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,0.02024807495983136,1,1.000132,,49.393930138252,0.020245402566692557,0.9998680174217003,0,0,,,,,,Gliquid pool 0xe84fb13f0e336965ea1f67fa935873c13091d407,hypertrade-api@v1,6483.614747,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,HYPE->USDC,WHYPE,0x5555555555555555555555555555555555555555,18,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,2.024807495983136269,100,100.017955,100.017955,49.39627850964505,0.020244440070616685,0.9998204822324152,0,100,,,,,,0x5555…5555 -> 0xb8ce…5ebb via hyperswap-v3 (50%) + prjx-v3 (50%) | 0xb8ce…5ebb -> 0xb883…630f via kittenswap_algebra (100%),hypertrade-api@v1,7585.045117,1,
2025-10-02T17:16:59.319Z__q1sktw,2025-10-02T17:16:59.319Z,Kittenswap Finance,dex_via_hypertrade,https://docs.kittenswap.finance/,999,HyperEVM,HYPE->USDC,WHYPE,0x5555555555555555555555555555555555555555,18,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,2.0248074959831364,100,100.017955,,49.39627850964505,0.020244440070616685,0.9998204822324152,0,0,,,,,,Kittenswap Finance pool 0xcfea924dab3d59303c2a17254980b4b0ab1bd5a2,hypertrade-api@v1,7585.045117,1,
